: , PolyhedronsSetTest::testBox , PolyhedronsSetTest::testTetrahedron , PolyhedronsSetTest::testIsometry , PolyhedronsSetTest::testBuildBox , PolyhedronsSetTest::testCross , PolyhedronsSetTest::testIssue780 , PolygonsSet_ESTest::test00 , PolygonsSet_ESTest::test01 , PolygonsSet_ESTest::test02 , PolygonsSet_ESTest::test03 , PolygonsSet_ESTest::test04 , PolygonsSet_ESTest::test05 , PolygonsSet_ESTest::test06 , PolygonsSet_ESTest::test07 , PolygonsSet_ESTest::test08 , PolygonsSet_ESTest::test09 , PolygonsSet_ESTest::test10 , PolygonsSet_ESTest::test11 , PolygonsSetTest::testSimplyConnected , PolygonsSetTest::testStair , PolygonsSetTest::testHole , PolygonsSetTest::testDisjointPolygons , PolygonsSetTest::testOppositeHyperplanes , PolygonsSetTest::testSingularPoint , PolygonsSetTest::testLineIntersection , PolygonsSetTest::testUnlimitedSubHyperplane , PolygonsSetTest::testUnion , PolygonsSetTest::testIntersection , PolygonsSetTest::testXor , PolygonsSetTest::testDifference , PolygonsSetTest::testEmptyDifference , PolygonsSetTest::testChoppedHexagon , PolygonsSetTest::testConcentric , PolygonsSetTest::testBug20040520 , PolygonsSetTest::testBug20041003 , RegressionTest0::test001 , RegressionTest0::test002 , RegressionTest0::test003 , RegressionTest0::test004 , RegressionTest0::test005 , RegressionTest0::test006 , RegressionTest0::test007 , RegressionTest0::test008 , RegressionTest0::test009 , RegressionTest0::test010 , RegressionTest0::test011 , RegressionTest0::test012 , RegressionTest0::test013 , RegressionTest0::test014 , RegressionTest0::test015 , RegressionTest0::test016 , RegressionTest0::test017 , RegressionTest0::test018 , RegressionTest0::test019 , RegressionTest0::test020 , RegressionTest0::test021 , RegressionTest0::test022 , RegressionTest0::test023 , RegressionTest0::test024 , RegressionTest0::test025 , RegressionTest0::test026 , RegressionTest0::test027 , RegressionTest0::test028 , RegressionTest0::test029 , RegressionTest0::test030 , RegressionTest0::test031 , RegressionTest0::test032 , RegressionTest0::test033 , RegressionTest0::test034 , RegressionTest0::test035 , RegressionTest0::test036 , RegressionTest0::test037 , RegressionTest0::test038 , RegressionTest0::test039 , RegressionTest0::test040 , RegressionTest0::test041 , RegressionTest0::test042 , RegressionTest0::test043 , RegressionTest0::test044 , RegressionTest0::test045 , RegressionTest0::test046 , RegressionTest0::test047 , RegressionTest0::test048 , RegressionTest0::test049 , RegressionTest0::test050 , RegressionTest0::test051 , RegressionTest0::test052 , RegressionTest0::test053 , RegressionTest0::test054 , RegressionTest0::test055 , RegressionTest0::test056 , RegressionTest0::test057 , RegressionTest0::test058 , RegressionTest0::test059 , RegressionTest0::test060 , RegressionTest0::test061 , RegressionTest0::test062 , RegressionTest0::test063 , RegressionTest0::test064 , RegressionTest0::test065 , RegressionTest0::test066 , RegressionTest0::test067 , RegressionTest0::test068 , RegressionTest0::test069 , RegressionTest0::test070 , RegressionTest0::test071 , RegressionTest0::test072 , RegressionTest0::test073 , RegressionTest0::test074 , RegressionTest0::test075 , RegressionTest0::test076 , RegressionTest0::test077 , RegressionTest0::test078 , RegressionTest0::test079 , RegressionTest0::test080 , RegressionTest0::test081 , RegressionTest0::test082 , RegressionTest0::test083 , RegressionTest0::test084 , RegressionTest0::test085 , RegressionTest0::test086 , RegressionTest0::test087 , RegressionTest0::test088 , RegressionTest0::test089 , RegressionTest0::test090 , RegressionTest0::test091 , RegressionTest0::test092 , RegressionTest0::test093 , RegressionTest0::test094 , RegressionTest0::test095 , RegressionTest0::test096 , RegressionTest0::test097 , RegressionTest0::test098 , RegressionTest0::test099 , RegressionTest0::test100 , RegressionTest0::test101 , RegressionTest0::test102 , RegressionTest0::test103 , RegressionTest0::test104 , RegressionTest0::test105 , RegressionTest0::test106 , RegressionTest0::test107 , RegressionTest0::test108 , RegressionTest0::test109 , RegressionTest0::test110 , RegressionTest0::test111 , RegressionTest0::test112 , RegressionTest0::test113 , RegressionTest0::test114 , RegressionTest0::test115 , RegressionTest0::test116 , RegressionTest0::test117 , RegressionTest0::test118 , RegressionTest0::test119 , RegressionTest0::test120 , RegressionTest0::test121 , RegressionTest0::test122 , RegressionTest0::test123 , RegressionTest0::test124 , RegressionTest0::test125 , RegressionTest0::test126 , RegressionTest0::test127 , RegressionTest0::test128 , 
PolygonsSet_ESTest::test04 , 1125 , 1154 , 2001 , 411 , 696 , 1602 , 163 , 144 , 158 , 170 , 0 , 146 , 166 , 200 , 166 , 171 , 304 , 394 , 896 , 419 , 838 , 665 , 250 , 291 , 1639 , 684 , 1341 , 1031 , 1498 , 1355 , 409 , 1530 , 577 , 3649 , 1065 , 1456 , 1476 , 10763 , 1142 , 4409 , 8935 , 10379 , 10143 , 3818 , 7862 , 1098 , 10379 , 10050 , 8153 , 291 , 12443 , 10459 , 8286 , 2456 , 5944 , 10147 , 13332 , 2551 , 8190 , 10493 , 7673 , 8604 , 16268 , 4603 , 790 , 7763 , 17895 , 901 , 3938 , 325 , 227 , 4940 , 6544 , 13468 , 7419 , 6566 , 3344 , 12716 , 6824 , 10025 , 3197 , 6864 , 8879 , 10590 , 770 , 13465 , 6385 , 7948 , 10543 , 13418 , 10579 , 5817 , 5283 , 7410 , 920 , 10494 , 923 , 1343 , 9192 , 10062 , 3544 , 17152 , 10868 , 14365 , 13337 , 8049 , 4646 , 10848 , 14569 , 3343 , 4620 , 8977 , 14244 , 13652 , 8489 , 4653 , 15280 , 6873 , 1188 , 8313 , 4418 , 10022 , 7200 , 10311 , 515 , 9019 , 15539 , 6150 , 9385 , 1490 , 10371 , 4835 , 4354 , 6594 , 9178 , 10657 , 753 , 12527 , 3578 , 10174 , 11021 , 534 , 9204 , 18188 , 9275 , 9409 , 7142 , 10462 , 8844 , 9073 , 8141 , 7748 , 13298 , 9850 , 7344 , 14084 , 7776 , 6535 , 8888 , 13568 , 6992 , 10914 , 14650 , 
PolygonsSet_ESTest::test05 , 1171 , 1200 , 2070 , 420 , 735 , 1667 , 57 , 133 , 114 , 73 , 146 , 0 , 65 , 80 , 63 , 79 , 267 , 374 , 930 , 436 , 871 , 695 , 243 , 295 , 1690 , 717 , 1386 , 1066 , 1546 , 1401 , 425 , 1617 , 606 , 3754 , 1145 , 1513 , 1533 , 10870 , 1208 , 4486 , 9029 , 10486 , 10250 , 3893 , 7949 , 1145 , 10486 , 10157 , 8243 , 305 , 12552 , 10548 , 8377 , 2525 , 6028 , 10254 , 13427 , 2620 , 8280 , 10586 , 7764 , 8692 , 16368 , 4682 , 840 , 7855 , 18008 , 945 , 4015 , 325 , 211 , 5023 , 6645 , 13562 , 7514 , 6653 , 3421 , 12827 , 6919 , 10120 , 3275 , 6956 , 8972 , 10699 , 806 , 13559 , 6474 , 8041 , 10655 , 13529 , 10672 , 5900 , 5364 , 7502 , 989 , 10602 , 957 , 1417 , 9301 , 10158 , 3622 , 17265 , 10961 , 14476 , 13432 , 8133 , 4739 , 10956 , 14666 , 3408 , 4701 , 9066 , 14339 , 13754 , 8579 , 4740 , 15390 , 6964 , 1251 , 8406 , 4496 , 10117 , 7291 , 10400 , 541 , 9107 , 15651 , 6240 , 9478 , 1563 , 10478 , 4919 , 4432 , 6676 , 9277 , 10751 , 779 , 12621 , 3669 , 10268 , 11116 , 555 , 9312 , 18301 , 9366 , 9506 , 7231 , 10569 , 8938 , 9165 , 8243 , 7844 , 13393 , 9945 , 7436 , 14194 , 7870 , 6619 , 8981 , 13674 , 7083 , 11006 , 14744 , 
PolygonsSet_ESTest::test06 , 1146 , 1183 , 2045 , 415 , 729 , 1662 , 49 , 164 , 134 , 57 , 166 , 65 , 0 , 114 , 49 , 62 , 259 , 360 , 908 , 411 , 850 , 683 , 234 , 281 , 1662 , 708 , 1356 , 1048 , 1515 , 1375 , 409 , 1601 , 590 , 3718 , 1122 , 1503 , 1522 , 10830 , 1201 , 4457 , 8986 , 10449 , 10214 , 3867 , 7913 , 1137 , 10449 , 10121 , 8198 , 309 , 12507 , 10506 , 8337 , 2506 , 5996 , 10218 , 13376 , 2600 , 8242 , 10544 , 7726 , 8655 , 16318 , 4651 , 836 , 7818 , 17961 , 937 , 3989 , 335 , 222 , 4991 , 6609 , 13511 , 7477 , 6613 , 3399 , 12790 , 6881 , 10068 , 3244 , 6919 , 8932 , 10661 , 803 , 13508 , 6441 , 8004 , 10618 , 13489 , 10629 , 5869 , 5335 , 7466 , 972 , 10564 , 951 , 1401 , 9264 , 10113 , 3583 , 17215 , 10918 , 14433 , 13381 , 8098 , 4707 , 10917 , 14619 , 3382 , 4671 , 9023 , 14288 , 13707 , 8539 , 4710 , 15347 , 6927 , 1242 , 8357 , 4465 , 10064 , 7254 , 10359 , 539 , 9065 , 15602 , 6206 , 9426 , 1550 , 10441 , 4887 , 4402 , 6641 , 9226 , 10698 , 775 , 12576 , 3639 , 10217 , 11061 , 560 , 9276 , 18251 , 9323 , 9462 , 7196 , 10531 , 8898 , 9123 , 8200 , 7808 , 13349 , 9893 , 7400 , 14151 , 7834 , 6590 , 8938 , 13626 , 7046 , 10961 , 14696 , 
PolygonsSet_ESTest::test07 , 1143 , 1173 , 2038 , 399 , 710 , 1649 , 107 , 154 , 147 , 119 , 200 , 80 , 114 , 0 , 112 , 126 , 273 , 376 , 900 , 407 , 842 , 666 , 223 , 271 , 1652 , 691 , 1347 , 1030 , 1506 , 1363 , 397 , 1581 , 576 , 3724 , 1115 , 1486 , 1506 , 10833 , 1190 , 4454 , 8994 , 10451 , 10215 , 3859 , 7914 , 1124 , 10451 , 10122 , 8204 , 303 , 12516 , 10511 , 8343 , 2492 , 5993 , 10219 , 13390 , 2587 , 8244 , 10549 , 7731 , 8655 , 16332 , 4649 , 811 , 7822 , 17969 , 926 , 3981 , 314 , 213 , 4987 , 6609 , 13526 , 7481 , 6616 , 3389 , 12791 , 6882 , 10084 , 3240 , 6920 , 8937 , 10664 , 764 , 13523 , 6442 , 8004 , 10621 , 13494 , 10635 , 5865 , 5330 , 7470 , 965 , 10566 , 921 , 1375 , 9267 , 10120 , 3587 , 17225 , 10924 , 14440 , 13395 , 8096 , 4701 , 10920 , 14628 , 3371 , 4666 , 9029 , 14301 , 13715 , 8538 , 4706 , 15354 , 6929 , 1210 , 8368 , 4463 , 10079 , 7257 , 10364 , 517 , 9071 , 15616 , 6206 , 9440 , 1527 , 10443 , 4882 , 4397 , 6643 , 9239 , 10711 , 739 , 12584 , 3634 , 10230 , 11076 , 541 , 9278 , 18264 , 9330 , 9467 , 7192 , 10533 , 8903 , 9128 , 8207 , 7810 , 13356 , 9907 , 7403 , 14158 , 7838 , 6583 , 8944 , 13638 , 7050 , 10969 , 14706 , 
PolygonsSet_ESTest::test08 , 1152 , 1182 , 2046 , 413 , 731 , 1663 , 47 , 163 , 133 , 59 , 166 , 63 , 49 , 112 , 0 , 59 , 261 , 356 , 917 , 417 , 857 , 688 , 237 , 286 , 1666 , 713 , 1368 , 1057 , 1523 , 1385 , 416 , 1606 , 597 , 3723 , 1125 , 1505 , 1523 , 10836 , 1204 , 4459 , 8989 , 10456 , 10221 , 3867 , 7920 , 1137 , 10456 , 10127 , 8201 , 310 , 12516 , 10516 , 8344 , 2506 , 6000 , 10225 , 13387 , 2601 , 8247 , 10549 , 7733 , 8663 , 16326 , 4654 , 837 , 7824 , 17968 , 937 , 3989 , 335 , 222 , 4993 , 6610 , 13516 , 7483 , 6618 , 3400 , 12794 , 6884 , 10074 , 3248 , 6926 , 8932 , 10668 , 805 , 13513 , 6439 , 8009 , 10623 , 13501 , 10635 , 5872 , 5339 , 7472 , 975 , 10571 , 953 , 1406 , 9269 , 10118 , 3587 , 17224 , 10924 , 14440 , 13392 , 8102 , 4709 , 10925 , 14628 , 3380 , 4673 , 9029 , 14297 , 13716 , 8546 , 4710 , 15352 , 6933 , 1245 , 8362 , 4467 , 10069 , 7254 , 10367 , 539 , 9071 , 15609 , 6204 , 9432 , 1554 , 10448 , 4890 , 4402 , 6645 , 9230 , 10704 , 777 , 12583 , 3642 , 10218 , 11068 , 562 , 9279 , 18258 , 9329 , 9466 , 7200 , 10538 , 8899 , 9128 , 8207 , 7814 , 13354 , 9900 , 7406 , 14157 , 7840 , 6590 , 8946 , 13632 , 7054 , 10967 , 14705 , 
PolygonsSet_ESTest::test09 , 1155 , 1187 , 2048 , 416 , 732 , 1663 , 55 , 171 , 144 , 60 , 171 , 79 , 62 , 126 , 59 , 0 , 270 , 360 , 914 , 418 , 855 , 686 , 242 , 288 , 1670 , 712 , 1363 , 1055 , 1518 , 1381 , 418 , 1601 , 593 , 3721 , 1126 , 1498 , 1517 , 10822 , 1202 , 4458 , 8981 , 10444 , 10209 , 3866 , 7909 , 1138 , 10444 , 10115 , 8191 , 312 , 12504 , 10501 , 8333 , 2504 , 5994 , 10213 , 13369 , 2600 , 8234 , 10539 , 7725 , 8649 , 16313 , 4652 , 840 , 7816 , 17954 , 938 , 3989 , 339 , 229 , 4992 , 6607 , 13500 , 7474 , 6610 , 3396 , 12782 , 6881 , 10064 , 3248 , 6917 , 8925 , 10655 , 805 , 13498 , 6442 , 8003 , 10612 , 13484 , 10625 , 5866 , 5330 , 7462 , 972 , 10559 , 954 , 1402 , 9264 , 10107 , 3586 , 17211 , 10910 , 14425 , 13375 , 8092 , 4709 , 10913 , 14611 , 3380 , 4671 , 9015 , 14285 , 13701 , 8534 , 4710 , 15338 , 6925 , 1244 , 8352 , 4467 , 10060 , 7253 , 10352 , 538 , 9056 , 15597 , 6206 , 9421 , 1549 , 10435 , 4887 , 4402 , 6641 , 9224 , 10694 , 779 , 12566 , 3640 , 10210 , 11059 , 562 , 9275 , 18244 , 9316 , 9455 , 7195 , 10527 , 8891 , 9115 , 8196 , 7805 , 13343 , 9888 , 7397 , 14145 , 7831 , 6584 , 8934 , 13622 , 7045 , 10954 , 14689 , 
PolygonsSet_ESTest::test10 , 1076 , 1109 , 1944 , 407 , 680 , 1577 , 256 , 307 , 312 , 258 , 304 , 267 , 259 , 273 , 261 , 270 , 0 , 186 , 846 , 425 , 799 , 631 , 328 , 340 , 1588 , 662 , 1279 , 971 , 1433 , 1293 , 424 , 1508 , 562 , 3605 , 1049 , 1398 , 1418 , 10674 , 1096 , 4319 , 8830 , 10290 , 10054 , 3733 , 7759 , 1040 , 10290 , 9961 , 8041 , 307 , 12351 , 10351 , 8180 , 2393 , 5838 , 10059 , 13222 , 2489 , 8089 , 10387 , 7574 , 8505 , 16164 , 4507 , 760 , 7665 , 17803 , 858 , 3852 , 341 , 318 , 4845 , 6461 , 13355 , 7325 , 6469 , 3252 , 12624 , 6735 , 9912 , 3117 , 6768 , 8775 , 10504 , 704 , 13351 , 6293 , 7851 , 10456 , 13328 , 10472 , 5728 , 5198 , 7308 , 880 , 10407 , 860 , 1308 , 9106 , 9958 , 3452 , 17056 , 10762 , 14272 , 13226 , 7949 , 4559 , 10758 , 14460 , 3251 , 4536 , 8863 , 14132 , 13543 , 8386 , 4573 , 15185 , 6776 , 1152 , 8206 , 4331 , 9907 , 7104 , 10206 , 512 , 8905 , 15442 , 6060 , 9270 , 1440 , 10283 , 4751 , 4267 , 6496 , 9072 , 10537 , 687 , 12414 , 3505 , 10057 , 10899 , 516 , 9115 , 18091 , 9162 , 9306 , 7046 , 10372 , 8739 , 8962 , 8052 , 7653 , 13192 , 9737 , 7246 , 13988 , 7678 , 6439 , 8779 , 13468 , 6897 , 10802 , 14538 , 
PolygonsSet_ESTest::test11 , 1082 , 1102 , 1930 , 450 , 686 , 1573 , 360 , 395 , 414 , 360 , 394 , 374 , 360 , 376 , 356 , 360 , 186 , 0 , 852 , 457 , 805 , 643 , 423 , 425 , 1574 , 673 , 1279 , 973 , 1433 , 1295 , 452 , 1500 , 576 , 3582 , 1041 , 1380 , 1398 , 10615 , 1079 , 4282 , 8775 , 10230 , 9996 , 3697 , 7712 , 1040 , 10229 , 9903 , 7988 , 378 , 12290 , 10293 , 8125 , 2361 , 5802 , 9999 , 13162 , 2457 , 8037 , 10333 , 7517 , 8452 , 16100 , 4473 , 766 , 7608 , 17735 , 861 , 3815 , 404 , 414 , 4807 , 6409 , 13295 , 7275 , 6419 , 3232 , 12561 , 6684 , 9852 , 3080 , 6689 , 8717 , 10442 , 684 , 13290 , 6246 , 7794 , 10394 , 13259 , 10417 , 5683 , 5154 , 7259 , 886 , 10344 , 834 , 1288 , 9044 , 9900 , 3415 , 16984 , 10701 , 14205 , 13167 , 7894 , 4505 , 10697 , 14399 , 3214 , 4491 , 8809 , 14073 , 13485 , 8335 , 4527 , 15116 , 6697 , 1142 , 8149 , 4293 , 9847 , 7049 , 10149 , 524 , 8849 , 15373 , 6012 , 9213 , 1432 , 10222 , 4703 , 4227 , 6447 , 9016 , 10478 , 673 , 12351 , 3471 , 10001 , 10843 , 524 , 9054 , 18020 , 9108 , 9246 , 6992 , 10309 , 8680 , 8905 , 7993 , 7597 , 13129 , 9678 , 7166 , 13915 , 7624 , 6390 , 8722 , 13396 , 6846 , 10745 , 14478 , 
PolygonsSetTest::testSimplyConnected , 848 , 857 , 1700 , 818 , 841 , 1457 , 908 , 898 , 916 , 912 , 896 , 930 , 908 , 900 , 917 , 914 , 846 , 852 , 0 , 652 , 324 , 320 , 748 , 701 , 1191 , 543 , 701 , 460 , 855 , 710 , 642 , 1325 , 599 , 3056 , 925 , 1327 , 1343 , 10340 , 1118 , 4060 , 8515 , 9963 , 9727 , 3516 , 7453 , 1064 , 9963 , 9637 , 7718 , 862 , 12013 , 10010 , 7842 , 2199 , 5576 , 9731 , 12843 , 2293 , 7776 , 10052 , 7261 , 8175 , 15781 , 4252 , 880 , 7351 , 17413 , 940 , 3631 , 843 , 889 , 4612 , 6201 , 12981 , 7046 , 6136 , 3058 , 12281 , 6448 , 9559 , 2874 , 6492 , 8461 , 10175 , 845 , 12978 , 6039 , 7550 , 10143 , 12962 , 10138 , 5450 , 4909 , 7035 , 970 , 10079 , 917 , 1280 , 8808 , 9630 , 3224 , 16668 , 10403 , 13916 , 12848 , 7625 , 4353 , 10428 , 14083 , 3031 , 4304 , 8507 , 13759 , 13187 , 8065 , 4338 , 14813 , 6500 , 1125 , 7867 , 4071 , 9554 , 6827 , 9863 , 840 , 8548 , 15076 , 5810 , 8932 , 1410 , 9954 , 4510 , 4008 , 6195 , 8731 , 10174 , 857 , 12047 , 3258 , 9713 , 10534 , 840 , 8820 , 17705 , 8804 , 8980 , 6745 , 10045 , 8427 , 8606 , 7745 , 7370 , 12823 , 9392 , 6967 , 13631 , 7397 , 6142 , 8425 , 13118 , 6619 , 10443 , 14156 , 
PolygonsSetTest::testStair , 1009 , 1030 , 1810 , 403 , 643 , 1516 , 413 , 418 , 432 , 413 , 419 , 436 , 411 , 407 , 417 , 418 , 425 , 457 , 652 , 0 , 609 , 474 , 254 , 202 , 1380 , 480 , 1109 , 785 , 1255 , 1123 , 247 , 1391 , 389 , 3460 , 949 , 1394 , 1413 , 10623 , 1134 , 4268 , 8784 , 10244 , 10009 , 3706 , 7711 , 1071 , 10244 , 9918 , 7992 , 428 , 12302 , 10298 , 8121 , 2355 , 5802 , 10013 , 13154 , 2449 , 8043 , 10342 , 7524 , 8451 , 16102 , 4462 , 801 , 7612 , 17746 , 897 , 3825 , 433 , 431 , 4823 , 6431 , 13289 , 7279 , 6402 , 3234 , 12581 , 6689 , 9852 , 3054 , 6724 , 8728 , 10457 , 764 , 13286 , 6265 , 7810 , 10419 , 13276 , 10428 , 5678 , 5147 , 7270 , 932 , 10360 , 898 , 1324 , 9071 , 9909 , 3413 , 16998 , 10697 , 14224 , 13158 , 7891 , 4540 , 10712 , 14399 , 3218 , 4504 , 8801 , 14076 , 13498 , 8335 , 4544 , 15135 , 6732 , 1156 , 8142 , 4277 , 9848 , 7059 , 10149 , 538 , 8840 , 15388 , 6031 , 9213 , 1464 , 10236 , 4721 , 4214 , 6440 , 9008 , 10471 , 743 , 12351 , 3439 , 10005 , 10833 , 567 , 9082 , 18032 , 9100 , 9255 , 7005 , 10327 , 8692 , 8900 , 8008 , 7609 , 13137 , 9682 , 7203 , 13943 , 7637 , 6390 , 8721 , 13412 , 6849 , 10744 , 14477 , 
PolygonsSetTest::testHole , 821 , 897 , 1692 , 779 , 791 , 1443 , 852 , 838 , 860 , 852 , 838 , 871 , 850 , 842 , 857 , 855 , 799 , 805 , 324 , 609 , 0 , 296 , 701 , 660 , 1184 , 509 , 665 , 506 , 785 , 685 , 604 , 1323 , 577 , 3044 , 899 , 1328 , 1346 , 10370 , 1105 , 4070 , 8541 , 9993 , 9761 , 3522 , 7475 , 1048 , 9993 , 9669 , 7746 , 809 , 12038 , 10033 , 7870 , 2202 , 5587 , 9765 , 12869 , 2297 , 7802 , 10071 , 7286 , 8203 , 15807 , 4260 , 851 , 7376 , 17447 , 912 , 3638 , 790 , 829 , 4619 , 6218 , 13004 , 7058 , 6159 , 3060 , 12314 , 6468 , 9581 , 2881 , 6504 , 8485 , 10206 , 815 , 13001 , 6055 , 7575 , 10175 , 13000 , 10157 , 5463 , 4932 , 7047 , 948 , 10108 , 906 , 1274 , 8838 , 9660 , 3221 , 16708 , 10427 , 13949 , 12875 , 7643 , 4364 , 10458 , 14111 , 3029 , 4306 , 8535 , 13790 , 13215 , 8089 , 4342 , 14852 , 6512 , 1117 , 7892 , 4081 , 9577 , 6840 , 9886 , 797 , 8577 , 15109 , 5823 , 8955 , 1399 , 9986 , 4518 , 4017 , 6212 , 8753 , 10197 , 810 , 12072 , 3259 , 9742 , 10555 , 794 , 8849 , 17745 , 8829 , 9012 , 6768 , 10074 , 8450 , 8632 , 7765 , 7382 , 12852 , 9414 , 6979 , 13665 , 7409 , 6160 , 8454 , 13146 , 6631 , 10471 , 14188 , 
PolygonsSetTest::testDisjointPolygons , 825 , 889 , 1752 , 617 , 703 , 1483 , 683 , 664 , 682 , 685 , 665 , 695 , 683 , 666 , 688 , 686 , 631 , 643 , 320 , 474 , 296 , 0 , 513 , 481 , 1250 , 472 , 824 , 557 , 969 , 825 , 455 , 1347 , 459 , 3227 , 900 , 1342 , 1361 , 10450 , 1092 , 4140 , 8626 , 10070 , 9836 , 3589 , 7559 , 1036 , 10071 , 9745 , 7829 , 642 , 12124 , 10128 , 7959 , 2255 , 5669 , 9840 , 12968 , 2348 , 7884 , 10172 , 7365 , 8284 , 15914 , 4331 , 793 , 7455 , 17547 , 873 , 3708 , 631 , 662 , 4692 , 6289 , 13107 , 7140 , 6242 , 3126 , 12396 , 6546 , 9679 , 2941 , 6587 , 8571 , 10284 , 754 , 13105 , 6129 , 7657 , 10247 , 13087 , 10258 , 5543 , 5005 , 7131 , 919 , 10188 , 867 , 1277 , 8908 , 9744 , 3284 , 16802 , 10519 , 14039 , 12974 , 7732 , 4412 , 10537 , 14211 , 3094 , 4381 , 8626 , 13887 , 13315 , 8173 , 4416 , 14939 , 6594 , 1108 , 7986 , 4151 , 9674 , 6922 , 9980 , 660 , 8670 , 15195 , 5896 , 9048 , 1409 , 10063 , 4593 , 4087 , 6292 , 8847 , 10299 , 740 , 12169 , 3331 , 9829 , 10658 , 663 , 8919 , 17834 , 8922 , 9094 , 6851 , 10154 , 8536 , 8723 , 7847 , 7466 , 12953 , 9511 , 7064 , 13749 , 7492 , 6241 , 8550 , 13234 , 6714 , 10564 , 14290 , 
PolygonsSetTest::testOppositeHyperplanes , 1048 , 1108 , 1940 , 401 , 707 , 1584 , 231 , 245 , 243 , 237 , 250 , 243 , 234 , 223 , 237 , 242 , 328 , 423 , 748 , 254 , 701 , 513 , 0 , 81 , 1533 , 541 , 1231 , 902 , 1387 , 1239 , 269 , 1504 , 434 , 3616 , 1022 , 1465 , 1484 , 10767 , 1179 , 4391 , 8918 , 10388 , 10153 , 3813 , 7847 , 1121 , 10388 , 10060 , 8134 , 320 , 12451 , 10439 , 8268 , 2453 , 5933 , 10157 , 13307 , 2547 , 8176 , 10477 , 7661 , 8588 , 16250 , 4585 , 827 , 7752 , 17893 , 930 , 3935 , 352 , 267 , 4936 , 6548 , 13443 , 7412 , 6539 , 3341 , 12722 , 6817 , 10001 , 3177 , 6856 , 8862 , 10601 , 787 , 13440 , 6384 , 7939 , 10554 , 13423 , 10563 , 5806 , 5267 , 7403 , 971 , 10503 , 931 , 1386 , 9202 , 10045 , 3531 , 17146 , 10844 , 14369 , 13312 , 8029 , 4655 , 10856 , 14547 , 3327 , 4616 , 8949 , 14220 , 13641 , 8475 , 4653 , 15281 , 6864 , 1218 , 8290 , 4400 , 9998 , 7191 , 10292 , 546 , 8990 , 15538 , 6148 , 9361 , 1531 , 10380 , 4831 , 4333 , 6573 , 9157 , 10631 , 767 , 12498 , 3567 , 10152 , 10996 , 559 , 9213 , 18186 , 9248 , 9392 , 7128 , 10470 , 8827 , 9048 , 8138 , 7742 , 13283 , 9830 , 7336 , 14087 , 7769 , 6518 , 8865 , 13560 , 6982 , 10889 , 14624 , 
PolygonsSetTest::testSingularPoint , 1031 , 1073 , 1906 , 398 , 693 , 1564 , 276 , 289 , 290 , 283 , 291 , 295 , 281 , 271 , 286 , 288 , 340 , 425 , 701 , 202 , 660 , 481 , 81 , 0 , 1476 , 520 , 1173 , 847 , 1334 , 1184 , 232 , 1472 , 398 , 3554 , 1000 , 1449 , 1468 , 10725 , 1169 , 4360 , 8886 , 10347 , 10112 , 3791 , 7811 , 1108 , 10347 , 10019 , 8094 , 337 , 12410 , 10404 , 8229 , 2431 , 5904 , 10116 , 13267 , 2526 , 8144 , 10441 , 7624 , 8551 , 16214 , 4554 , 816 , 7715 , 17854 , 922 , 3912 , 361 , 299 , 4912 , 6519 , 13402 , 7381 , 6501 , 3317 , 12684 , 6788 , 9961 , 3144 , 6825 , 8830 , 10561 , 780 , 13399 , 6356 , 7909 , 10524 , 13385 , 10527 , 5777 , 5236 , 7372 , 960 , 10462 , 921 , 1373 , 9172 , 10013 , 3503 , 17110 , 10801 , 14331 , 13271 , 7995 , 4629 , 10814 , 14512 , 3302 , 4592 , 8907 , 14180 , 13605 , 8437 , 4629 , 15243 , 6833 , 1201 , 8247 , 4369 , 9959 , 7157 , 10257 , 547 , 8948 , 15500 , 6120 , 9325 , 1512 , 10338 , 4807 , 4303 , 6537 , 9116 , 10584 , 760 , 12454 , 3537 , 10113 , 10948 , 559 , 9183 , 18146 , 9206 , 9360 , 7094 , 10428 , 8795 , 9006 , 8106 , 7711 , 13245 , 9789 , 7305 , 14049 , 7738 , 6487 , 8826 , 13522 , 6951 , 10846 , 14587 , 
